"sim","scenario","threshold","method","first_crossing","posterior_at_crossing","effect_at_crossing","final_effect","type_m"
2707,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.0147047116992013,NA
2708,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,-0.00017582038454883,NA
2708,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,-0.00017582038454883,NA
2708,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,-0.00017582038454883,NA
2708,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,-0.00017582038454883,NA
2708,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,-0.00017582038454883,NA
2708,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,-0.00017582038454883,NA
2708,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,-0.00017582038454883,NA
2709,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,-0.00207299599331362,NA
2709,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,-0.00207299599331362,NA
2709,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,-0.00207299599331362,NA
2709,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,-0.00207299599331362,NA
2709,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,-0.00207299599331362,NA
2709,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,-0.00207299599331362,NA
